,Book_Series,Author,Original_Language,No_of_Installments,Years_of_Publication,Approximate_Sales,Genre_1,Genre_2,First_Installment_Published,Last_Installment_Published,No_of_Main_Books,No_of_Extras,Extras,All_Genre
1,三毛猫ホームズシリーズ [ja] (Calico Cat Holmes series),Jirō Akagawa,Japanese,43,1978–2025,28000000,detective, mystery,1978,2025,43,,False,"detective, mystery"
2,Curious George,Hans Augusto Rey and Margret Rey,English,58,1941–2025,27000000,Children's Literature,,1941,2025,58,,False,Children's Literature
3,Shannara,Terry Brooks,English,20,1977–2025,26000000,,,1977,2025,20,,False,
4,Kurt Wallander,Henning Mankell,Swedish,10,1991–2002,25000000,,,1991,2002,10,,False,
5,Sagan om Isfolket (The Legend of the Ice People),Margit Sandemo,Swedish,47,1982–1989,25000000,,,1982,1989,47,,False,
6,The Sword of Truth,Terry Goodkind,English,21,1998–2025,25000000,,,1998,2025,21,,False,
7,Outlander,Diana Gabaldon,English,8,1991–2025,25000000,,,1991,2025,8,,False,
8,ズッコケ三人組 [ja] (Zukkoke Sanningumi),Masamoto Nasu,Japanese,50,1978–2004,25000000,Children's Literature,,1978,2004,50,,False,Children's Literature
10,Brain Quest,Various authors,English,,1992–2025,23700000,,,1992,2025,,,True,
11,South Beach Diet,Arthur Agatston,English,6,2003–2025,22000000,,,2003,2025,6,,False,
12,ソードアート・オンライン (Sword Art Online),Reki Kawahara,Japanese,27,2009–2025,30000000,,,2009,2025,27,,False,
13,竜馬がゆく [ja] (Ryoma ga Yuku),Ryōtarō Shiba,Japanese,5,1963–1966,21500000,jidaigeki,,1963,1966,5,,False,jidaigeki
14,Artemis Fowl,Eoin Colfer,English,8 + 1 companion book,2001–2012,21000000,,,2001,2012,8,1.0,True,
15,The Cosmere,Brandon Sanderson,English,30,2005–2025,21000000,,,2005,2025,30,,False,
16,Dune series,Frank Herbert,English,30,1965,20000000,Science fiction novel,,1965,1965,30,,False,Science fiction novel
17,I Survived,Lauren Tarshis,English,25,2010–2020,20000000,,,2010,2020,25,,False,
18,Découvertes Gallimard,Various authors,French,700,1986–2025,20000000,,,1986,2025,700,,False,
19,Redwall,Brian Jacques,English,22,1986–2011,20000000,,,1986,2011,22,,False,
20,Maisy,Lucy Cousins,English,23,1990–2025,20000000,,,1990,2025,23,,False,
21,Dragonlance,Various authors,English,150,1984–2025,20000000,,,1984,2025,150,,False,
22,幻魔大戦 (Genma Taisen),Kazumasa Hirai,Japanese,20,1979–1983,20000000,,,1979,1983,20,,False,
23,青春の門 (The Gate of Youth),Hiroyuki Itsuki,Japanese,,1970–2025,20000000,,,1970,2025,,,True,
24,スレイヤーズ (Slayers),Hajime Kanzaka,Japanese,50,1989–2025,20000000,,,1989,2025,50,,False,
25,The Foundation Trilogy,Isaac Asimov,English,3,1950–1953,20000000,,,1950,1953,3,,False,
26,Horrible Histories,Terry Deary,English,24,1993–2025,20000000,,,1993,2025,24,,False,
27,Rainbow Magic,Daisy Meadows,English,80,2003–2025,20000000,,,2003,2025,80,,False,
28,Morgan Kane,Louis Masterson,Norwegian,90,1966-2025,20000000,,,1966,2025,90,,False,
29,The Southern Vampire Mysteries,Charlaine Harris,English,13,2001–2013,20000000,,,2001,2013,13,,False,
9,鬼平犯科帳 (Onihei Hankachō),Shōtarō Ikenami,Japanese,24,1968–1990,24400000,jidaigeki,,1968,1990,24,,False,jidaigeki
